word,meaning,furigana,romaji,level
沸騰,boiling; seething,ふっとう,futtō,N1
神秘,mystery,しんぴ,shinpi,N1
気流,atmospheric current,きりゅう,kiryū,N1
諄い,verbose; importunate; heavy (taste),くどい,kudoi,N1
濯ぐ,to rinse; to wash out,すすぐ,susugu,N1
沈黙,silence; reticence,ちんもく,chinmoku,N1
沈殿,precipitation; settlement,ちんでん,chinden,N1
偖,well; now; then,さて,sate,N1
始末,management; dealing; settlement; cleaning up afterwards,しまつ,shimatsu,N1
でかい,huge,,dekai,N1
着色,colouring; coloring,ちゃくしょく,chakushoku,N1
任命,appointment; nomination; ordination; commission; designation,にんめい,ninmei,N1
衆議院,Lower House; House of Representatives,しゅうぎいん,shūgiin,N1
判決,judicial decision; judgement; sentence; decree,はんけつ,hanketsu,N1
主導,main leadership,しゅどう,shudō,N1
折り返す,to turn up; to fold back,おりかえす,orikaesu,N1
一息,puffy; a breath; a pause; an effort,ひといき,hitoiki,N1
クレーン,crane,,kurēn,N1
契る,to pledge; to promise; to swear,ちぎる,chigiru,N1
カーペット,carpet,,kāpetto,N1
傑,excellence,けつ,ketsu,N1
切ない,painful; trying; oppressive; suffocating,せつない,setsunai,N1
守備,defense,しゅび,shubi,N1
愚か,foolish; stupid,おろか,oroka,N1
脅かす,to threaten; to coerce,おどかす,odokasu,N1
当たり,hit; success; reaching the mark; per ...; vicinity; neighborhood,あたり,atari,N1
戦,war; battle; campaign; fight,いくさ,ikusa,N1
不振,dullness; depression; slump; stagnation,ふしん,fushin,N1
便宜,convenience; accommodation; advantage; expedience,べんぎ,bengi,N1
涸れる,to dry up; to run out,かれる,kareru,N1
手数,number of moves; trouble,てかず,tekazu,N1
絡む,to entangle; to entwine,からむ,karamu,N1
興奮,excitement; stimulation; agitation; arousal,こうふん,kōfun,N1
伝言,verbal message; rumor; word,つてごと,tsutegoto,N1
何気ない,casual; unconcerned,なにげない,nanigenai,N1
趣旨,object; meaning,しゅし,shushi,N1
原書,original document,げんしょ,gensho,N1
感染,infection; contagion,かんせん,kansen,N1
打ち合わせる,to knock together; to arrange,うちあわせる,uchiawaseru,N1
苛々,getting nervous; irritation,いらいら,iraira,N1
難い,difficult; hard,かたい,katai,N1
錯覚,optical illusion; hallucination,さっかく,sakkaku,N1
万,many; all,ばん,ban,N1
堪える,to bear; to stand; to endure; to put up with; to support; to withstand; to resist; to brave; to be fit for; t,こたえる,kotaeru,N1
碌な,satisfactory; decent,ろくな,rokuna,N1
梯子,ladder; stairs,ていし,teishi,N1
信任,trust; confidence; credence,しんにん,shinnin,N1
歩む,to walk; to go on foot,あゆむ,ayumu,N1
織,weave; weaving; woven item,おり,ori,N1
国定,state-sponsored; national,こくてい,kokutei,N1
斑,spots; speckles; mottles,ぶち,buchi,N1
行員,bank clerk,こういん,kōin,N1
チームワーク,teamwork,,chīmuwāku,N1
制,system; organization; imperial command; laws; regulation; control; government; suppression; restraint; holdin,せい,sei,N1
際,edge; brink; verge; side,きわ,kiwa,N1
ぶら下げる,to hang; to suspend; to dangle; to swing,ぶらさげる,burasageru,N1
一人,one person,いちにん,ichinin,N1
面皰,pimple; acne,にきび,nikibi,N1
ソックス,socks,,sokkusu,N1
等,et cetera; etc.; and the like,とう,tō,N1
お蔭様で,Thanks to god; thanks to you,おかげさまで,okagesamade,N1
セレモニー,ceremony,,seremonī,N1
出生,birth,しゅっしょう,shusshō,N1
ナイター,game under lights (e.g. baseball) (lit: nighter); night game,,naitā,N1
滅亡,downfall; ruin; collapse; destruction,めつぼう,metsubō,N1
くっ付ける,to attach,くっつける,kuttsukeru,N1
今晩は,good evening,こんばんは,konbanha,N1
炭素,carbon (C),たんそ,tanso,N1
善し悪し,good or bad; merits or demerits; quality; suitability,よしあし,yoshiashi,N1
蕾,bud; flower bud,つぼみ,tsubomi,N1
円滑,harmony; smoothness,えんかつ,enkatsu,N1
発病,attack (disease),はつびょう,hatsubyō,N1
執着,attachment; adhesion; tenacity,しゅうじゃく,shūjaku,N1
ちょくちょく,often; frequently; now and then; occasionally,,chokuchoku,N1
未婚,unmarried,みこん,mikon,N1
嬢,young woman,じょう,jō,N1
ホール,hall; hole,,hōru,N1
頑丈,solid; firm; stout; burly; strong; sturdy,がんじょう,ganjō,N1
号,number; issue,ごう,gō,N1
抑圧,check; restraint; oppression; suppression,よくあつ,yokuatsu,N1
インテリ,egghead; intelligentsia,,interi,N1
種々,variety,くさぐさ,kusagusa,N1
カット,cut; cutting,,katto,N1
素材,raw materials; subject matter,そざい,sozai,N1
決まり悪い,feeling awkward; being ashamed,きまりわるい,kimariwarui,N1
敏感,sensibility; susceptibility; sensitive (to); well attuned to,びんかん,binkan,N1
旧事,past events; bygones,くじ,kuji,N1
一別,parting,いちべつ,ichibetsu,N1
公然,open (e.g. secret); public; official,こうぜん,kōzen,N1
粗筋,outline; summary,あらすじ,arasuji,N1
生計,livelihood; living,せいけい,seikei,N1
冷淡,coolness; indifference,れいたん,reitan,N1
此の,this,この,kono,N1
多様,diversity; variety,たよう,tayō,N1
遣り通す,to carry through; to achieve; to complete,やりとおす,yaritōsu,N1
窒息,suffocation,ちっそく,chissoku,N1
零す,to spill,こぼす,kobosu,N1
饂飩,noodles (Japanese),うどん,udon,N1
インターチェンジ,interchange,,intāchenji,N1
憂鬱,depression; melancholy; dejection; gloom,ゆううつ,yūutsu,N1
脚本,scenario,きゃくほん,kyakuhon,N1
レース,race; lace,,rēsu,N1
良識,good sense,りょうしき,ryōshiki,N1
女史,Ms.,じょし,joshi,N1
幕,curtain; bunting; act (in play),とばり,tobari,N1
供,offer; present; submit; serve (a meal); supply,きょう,kyō,N1
至って,very much; exceedingly; extremely,いたって,itatte,N1
配分,distribution; allotment,はいぶん,haibun,N1
発作,fit; spasm,ほっさ,hossa,N1
さん,Mr or Mrs,,san,N1
教材,teaching materials,きょうざい,kyōzai,N1
凡そ,about; roughly; as a rule; approximately,およそ,oyoso,N1
付録,appendix; supplement,ふろく,furoku,N1
密接,related; connected; close; intimate,みっせつ,missetsu,N1
故人,the deceased; old friend,こじん,kojin,N1
ヶ月,#NAME?,かげつ,kagetsu,N1
魂,soul; spirit,こん,kon,N1
カルテ,(de:) (n) clinical records (de: Karte),,karute,N1
慣行,customary practice; habit; traditional event,かんこう,kankō,N1
急かす,to hurry; to urge on,せかす,sekasu,N1
役職,post; managerial position; official position,やくしょく,yakushoku,N1
備わる,to be furnished with; to be endowed with; to possess; to be among; to be one of; to be possessed of,そなわる,sonawaru,N1
山腹,hillside; mountainside,さんぷく,sanpuku,N1
突く,1.  to thrust; to strike; to attack; 2.  to poke; to nudge; to pick at,つつく,tsutsuku,N1
見落とす,to overlook; to fail to notice,みおとす,miotosu,N1
真上,just above; right overhead,まうえ,maue,N1
アルカリ,alkali,,arukari,N1
財,fortune; riches,ざい,zai,N1
肉親,blood relationship; blood relative,にくしん,nikushin,N1
所々,here and there; some parts (of something),しょしょ,shosho,N1
皺,wrinkles; creases,しわ,shiwa,N1
関税,customs; duty; tariff,かんぜい,kanzei,N1
納まる,to be obtained; to end; to settle into; to fit into; to be settled; to be paid; to be delivered,おさまる,osamaru,N1
憎しみ,hatred,にくしみ,nikushimi,N1
油絵,oil painting,あぶらえ,aburae,N1
がる,feel,,garu,N1
若し,if; in case; supposing,もし,moshi,N1
不可欠,indispensable; essential,ふかけつ,fukaketsu,N1
チェンジ,change,,chenji,N1
正解,correct; right; correct interpretation (answer  solution),せいかい,seikai,N1
弾く,to flip; to snap,はじく,hajiku,N1
像,statue; image; figure; picture; portrait,ぞう,zō,N1
照り返す,to reflect; to throw back light,てりかえす,terikaesu,N1
非,faulty-; non-,ひ,hi,N1
